日期,新增确诊,疑似病例,新增死亡,新增治愈,境外输入,死亡率,治愈率
01.20,77,27,0,0,0,0.0,0.0
01.21,149,53,3,0,0,2.0,0.0
01.22,131,257,8,0,0,6.1,0.0
01.23,259,680,8,6,0,3.1,2.3
01.24,444,1118,16,3,0,3.6,0.7
01.25,688,1309,15,11,0,2.2,1.6
01.26,769,3806,24,2,0,3.1,0.3
01.27,1771,2077,26,9,0,1.5,0.5
01.28,1459,3248,26,43,0,1.8,2.9
01.29,1737,4148,38,21,0,2.2,1.2
01.30,1982,4812,43,47,0,2.2,2.4
01.31,2102,5019,46,72,0,2.2,3.4
02.01,2590,4562,45,85,0,1.7,3.3
02.02,2829,5173,57,147,0,2.0,5.2
02.03,3235,5072,64,157,0,2.0,4.9
02.04,3893,3971,65,262,0,1.7,6.7
02.05,3697,5328,73,261,0,2.0,7.1
02.06,3143,4833,73,387,0,2.3,12.3
02.07,3401,4214,86,510,0,2.5,15.0
02.08,2656,3916,89,600,0,3.4,22.6
02.09,3062,4008,97,632,0,3.2,20.6
02.10,2484,3536,108,716,0,4.3,28.8
02.11,2022,3342,97,744,0,4.8,36.8
02.12,15153,2807,254,1173,0,1.7,7.7
02.13,5093,2450,121,1083,0,2.4,21.3
02.14,2644,2277,143,1373,0,5.4,51.9
02.15,2009,1918,142,1324,0,7.1,65.9
02.16,2051,1563,105,1425,0,5.1,69.5
02.17,1891,1432,98,1701,0,5.2,90.0
02.18,1751,1185,136,1826,0,7.8,104.3
02.19,820,1277,115,1781,0,14.0,217.2
02.20,892,1614,118,2109,0,13.2,236.4
02.21,399,1361,109,2394,0,27.3,600.0
02.22,649,882,97,2235,0,14.9,344.4
02.23,416,620,150,1850,0,36.1,444.7
02.24,517,530,71,2596,0,13.7,502.1
02.25,411,439,52,2422,0,12.7,589.3
02.26,440,508,29,2756,0,6.6,626.4
02.27,329,452,44,3626,0,13.4,1102.1
02.28,430,248,47,2892,0,10.9,672.6
02.29,579,132,35,2626,0,6.0,453.5
03.01,206,141,42,2843,0,20.4,1380.1
03.02,128,129,31,2742,0,24.2,2142.2
03.03,120,143,38,2654,0,31.7,2211.7
03.04,143,143,31,2195,2,21.7,1535.0
03.05,145,102,30,1684,16,20.7,1161.4
03.06,103,99,28,1684,24,27.2,1635.0
03.07,46,84,27,1666,3,58.7,3621.7
03.08,45,60,23,1541,4,51.1,3424.4
03.09,20,36,17,1298,2,85.0,6490.0
03.10,31,31,22,1585,10,71.0,5112.9
03.11,25,33,11,1320,6,44.0,5280.0
03.12,11,33,7,1329,3,63.6,12081.8
03.13,18,17,14,1433,7,77.8,7961.1
03.14,27,39,10,1373,16,37.0,5085.2
03.15,29,41,14,841,12,48.3,2900.0
03.16,39,45,13,936,20,33.3,2400.0
03.17,35,21,11,926,12,31.4,2645.7
03.18,84,23,8,822,34,9.5,978.6
03.19,65,31,3,737,39,4.6,1133.8
03.20,116,36,8,592,41,6.9,510.3
03.21,82,45,6,506,45,7.3,617.1
03.22,102,47,9,459,39,8.8,450.0
03.23,147,35,7,458,74,4.8,311.6
03.24,99,33,4,492,47,4.0,497.0
03.25,114,58,6,405,67,5.3,355.3
03.26,118,49,5,541,54,4.2,458.5
03.27,135,29,3,385,54,2.2,285.2
03.28,128,28,5,478,44,3.9,373.4
03.29,106,17,5,337,30,4.7,317.9
03.30,98,44,3,288,48,3.1,293.9
03.31,86,26,7,190,35,8.1,220.9
04.01,93,20,6,195,35,6.5,209.7
04.02,78,12,4,175,29,5.1,224.4
04.03,73,11,4,199,18,5.5,272.6
04.04,55,11,3,226,25,5.5,410.9
04.05,75,10,1,138,38,1.3,184.0
04.06,66,12,0,102,32,0.0,154.5
04.07,86,12,2,136,59,2.3,158.1
04.08,92,17,2,125,61,2.2,135.9
04.09,56,3,1,127,38,1.8,226.8
04.10,64,8,4,97,42,6.2,151.6
04.11,113,49,0,85,97,0.0,75.2
04.12,115,6,2,125,98,1.7,108.7
04.13,99,3,0,117,86,0.0,118.2
04.14,49,11,1,127,36,2.0,259.2
04.15,52,4,0,115,34,0.0,221.2
04.16,27,3,0,96,15,0.0,355.6
04.17,31,5,0,109,17,0.0,351.6
04.18,21,2,0,81,9,0.0,385.7
04.19,36,2,0,70,8,0.0,194.4
04.20,13,3,0,131,4,0.0,1007.7
04.21,37,3,0,156,23,0.0,421.6
04.22,15,0,0,105,6,0.0,700.0
04.23,9,2,0,89,2,0.0,988.9
04.24,13,3,0,126,11,0.0,969.2
04.25,14,0,0,88,5,0.0,628.6
04.26,3,5,0,108,2,0.0,3600.0
04.27,6,1,0,106,3,0.0,1766.7
04.28,22,2,0,65,21,0.0,295.5
04.29,4,3,0,56,4,0.0,1400.0
04.30,12,3,0,60,6,0.0,500.0
05.01,3,2,0,60,1,0.0,2000.0
05.02,5,0,0,34,1,0.0,680.0
05.03,7,1,0,77,3,0.0,1100.0
05.04,4,0,0,110,1,0.0,2750.0
05.05,2,3,0,78,2,0.0,3900.0
05.06,3,2,0,64,2,0.0,2133.3
05.07,6,3,0,56,0,0.0,933.3
05.08,1,2,0,77,1,0.0,7700.0
05.09,14,1,0,87,2,0.0,621.4
05.10,20,0,0,45,7,0.0,225.0
05.11,1,1,0,33,1,0.0,3300.0
05.12,7,1,0,28,1,0.0,400.0
05.13,6,0,0,27,0,0.0,450.0
05.14,5,1,0,23,0,0.0,460.0
05.15,9,2,0,24,6,0.0,266.7
05.16,5,2,0,14,2,0.0,280.0
05.17,10,1,0,19,4,0.0,190.0
05.18,6,1,0,7,3,0.0,116.7
05.19,5,3,0,7,1,0.0,140.0
05.20,2,1,0,7,1,0.0,350.0
05.21,13,1,0,14,2,0.0,107.7
05.22,2,2,0,4,0,0.0,200.0
05.23,3,3,0,6,2,0.0,200.0
05.24,11,0,0,11,11,0.0,100.0
05.25,7,0,0,10,7,0.0,142.9
05.26,1,1,0,7,1,0.0,700.0
05.27,3,0,0,12,2,0.0,400.0
05.28,0,0,0,5,0,0.0,0.0
05.29,18,1,0,11,4,0.0,61.1
05.30,5,0,0,4,2,0.0,80.0
05.31,18,0,0,6,16,0.0,33.3
06.01,9,0,0,12,5,0.0,133.3
06.02,7,1,0,2,1,0.0,28.6
06.03,1,0,0,7,1,0.0,700.0
06.04,11,0,0,11,5,0.0,100.0
06.05,6,1,0,6,3,0.0,100.0
06.06,9,2,0,6,5,0.0,66.7
06.07,5,1,0,11,4,0.0,220.0
06.08,4,0,0,10,3,0.0,250.0
06.09,3,0,0,8,3,0.0,266.7
06.10,11,0,0,5,11,0.0,45.5
06.11,7,0,0,8,6,0.0,114.3
06.12,11,0,0,7,5,0.0,63.6
06.13,58,1,0,3,19,0.0,5.2
06.14,49,1,0,7,10,0.0,14.3
06.15,45,3,0,9,8,0.0,20.0
06.16,44,3,0,4,11,0.0,9.1
06.17,36,3,0,18,4,0.0,50.0
06.18,37,2,0,5,4,0.0,13.5
06.19,30,4,0,14,4,0.0,46.7
06.20,27,3,1,6,1,3.7,22.2
06.21,21,2,0,1,7,0.0,4.8
06.22,52,2,0,13,9,0.0,25.0
06.23,28,4,1,8,3,3.6,28.6
06.24,21,0,0,8,5,0.0,38.1
06.25,29,3,1,8,2,3.4,27.6
06.26,24,1,0,8,4,0.0,33.3
06.27,18,1,0,11,3,0.0,61.1
06.28,14,4,0,18,5,0.0,128.6
06.29,23,1,0,10,11,0.0,43.5
06.30,5,2,0,14,0,0.0,280.0
07.01,31,0,0,19,2,0.0,61.3
07.02,15,1,0,15,3,0.0,100.0
07.03,9,2,0,15,2,0.0,166.7
07.04,19,1,0,27,6,0.0,142.1
07.05,14,0,0,13,3,0.0,92.9
07.06,25,2,0,11,8,0.0,44.0
07.07,21,0,0,24,7,0.0,114.3
07.08,33,0,0,48,9,0.0,145.5
07.09,46,3,0,28,4,0.0,60.9
07.10,42,0,0,25,2,0.0,59.5
07.11,35,0,0,21,7,0.0,60.0
07.12,46,0,0,31,8,0.0,67.4
07.13,55,0,1,31,3,1.8,56.4
07.14,54,0,0,31,6,0.0,57.4
07.15,20,0,2,38,1,10.0,190.0
07.16,78,1,0,31,9,0.0,39.7
07.17,82,1,1,32,6,1.2,39.0
07.18,80,1,1,27,3,1.2,33.8
07.19,131,1,0,44,5,0.0,33.6
07.20,84,0,0,26,3,0.0,31.0
07.21,74,0,2,45,5,2.7,60.8
07.22,135,3,0,35,3,0.0,25.9
07.23,139,1,1,53,6,0.7,38.1
07.24,160,2,1,44,5,0.6,27.5
07.25,179,2,2,67,11,1.1,37.4
07.26,189,0,0,50,4,0.0,26.5
07.27,217,0,4,7,4,1.8,3.2
07.28,212,0,1,51,3,0.5,24.1
07.29,223,1,1,77,3,0.4,34.5
07.30,276,1,1,86,4,0.4,31.2
07.31,166,0,2,107,6,1.2,64.5
08.01,180,0,4,121,16,2.2,67.2
08.02,158,3,4,111,7,2.5,70.3
08.03,114,1,3,95,6,2.6,83.3
08.04,109,0,4,121,5,3.7,111.0
08.05,122,0,1,183,7,0.8,150.0
08.06,133,2,3,175,10,2.3,131.6
08.07,120,5,1,197,6,0.8,164.2
08.08,92,0,0,180,8,0.0,195.7
08.09,121,1,5,156,35,4.1,128.9
08.10,113,2,3,122,31,2.7,108.0
08.11,61,1,3,195,16,4.9,319.7
08.12,82,1,5,200,11,6.1,243.9
