地区,新增确诊,现有确诊,累计确诊,累计死亡,死亡率,累计治愈,治愈率
香港,69,902,4360,66,1.51,3392,77.80
地区待确认,69,902,4360,66,1.51,3392,77.80
新疆,8,464,891,3,0.34,424,47.59
乌鲁木齐,8,462,834,0,0.00,372,44.60
地区待确认,0,1,1,0,0.00,0,0.00
喀什,0,1,2,0,0.00,1,50.00
伊犁州,0,0,18,0,0.00,18,100.00
兵团第九师,0,0,4,1,25.00,3,75.00
吐鲁番,0,0,3,0,0.00,3,100.00
第八师石河子,0,0,4,1,25.00,3,75.00
昌吉州,0,0,5,0,0.00,5,100.00
兵团第四师,0,0,10,1,10.00,9,90.00
六师五家渠,0,0,2,0,0.00,2,100.00
兵团第十二师,0,0,3,0,0.00,3,100.00
巴州,0,0,3,0,0.00,3,100.00
第七师,0,0,1,0,0.00,1,100.00
阿克苏,0,0,1,0,0.00,1,100.00
上海,16,69,816,7,0.86,740,90.69
境外输入,16,69,474,0,0.00,405,85.44
青浦,0,0,6,0,0.00,6,100.00
外地来沪,0,0,113,1,0.88,112,99.12
地区待确认,0,0,0,0,0.00,0,0.00
宝山,0,0,22,1,4.55,21,95.45
嘉定,0,0,9,2,22.22,7,77.78
徐汇,0,0,18,1,5.56,17,94.44
静安,0,0,16,1,6.25,15,93.75
黄浦,0,0,6,1,16.67,5,83.33
浦东,0,0,61,0,0.00,61,100.00
境外来沪,0,0,1,0,0.00,1,100.00
崇明,0,0,4,0,0.00,4,100.00
金山,0,0,4,0,0.00,4,100.00
虹口,0,0,7,0,0.00,7,100.00
奉贤,0,0,9,0,0.00,9,100.00
杨浦,0,0,9,0,0.00,9,100.00
普陀,0,0,11,0,0.00,11,100.00
长宁,0,0,13,0,0.00,13,100.00
松江,0,0,14,0,0.00,14,100.00
闵行,0,0,19,0,0.00,19,100.00
辽宁,0,52,261,2,0.77,207,79.31
大连,0,46,110,0,0.00,64,58.18
境外输入,0,5,37,0,0.00,32,86.49
铁岭,0,1,8,0,0.00,7,87.50
葫芦岛,0,0,12,1,8.33,11,91.67
抚顺,0,0,1,0,0.00,1,100.00
朝阳市,0,0,6,1,16.67,5,83.33
丹东,0,0,11,0,0.00,11,100.00
沈阳,0,0,34,0,0.00,34,100.00
鞍山,0,0,4,0,0.00,4,100.00
锦州,0,0,12,0,0.00,12,100.00
盘锦,0,0,11,0,0.00,11,100.00
阜新,0,0,8,0,0.00,8,100.00
本溪,0,0,3,0,0.00,3,100.00
辽阳,0,0,3,0,0.00,3,100.00
营口,0,0,1,0,0.00,1,100.00
山东,0,25,821,7,0.85,789,96.10
境外输入,0,25,58,0,0.00,33,56.90
临沂,0,0,49,0,0.00,49,100.00
济宁,0,0,260,0,0.00,260,100.00
济南,0,0,47,0,0.00,47,100.00
菏泽,0,0,18,0,0.00,18,100.00
滨州,0,0,15,0,0.00,15,100.00
聊城,0,0,38,0,0.00,38,100.00
德州,0,0,37,2,5.41,35,94.59
青岛,0,0,65,1,1.54,64,98.46
日照,0,0,16,0,0.00,16,100.00
威海,0,0,38,1,2.63,37,97.37
泰安,0,0,35,2,5.71,33,94.29
潍坊,0,0,44,0,0.00,44,100.00
烟台,0,0,47,0,0.00,47,100.00
枣庄,0,0,24,0,0.00,24,100.00
淄博,0,0,30,1,3.33,29,96.67
台湾,0,24,481,7,1.46,450,93.56
地区待确认,0,24,481,7,1.46,450,93.56
陕西,5,19,346,3,0.87,324,93.64
境外输入,5,19,101,0,0.00,82,81.19
韩城,0,0,1,0,0.00,1,100.00
渭南,0,0,15,0,0.00,15,100.00
咸阳,0,0,17,0,0.00,17,100.00
西安,0,0,120,3,2.50,117,97.50
汉中,0,0,26,0,0.00,26,100.00
杨凌,0,0,1,0,0.00,1,100.00
地区待确认,0,0,0,0,0.00,0,0.00
榆林,0,0,3,0,0.00,3,100.00
商洛,0,0,7,0,0.00,7,100.00
铜川,0,0,8,0,0.00,8,100.00
延安,0,0,8,0,0.00,8,100.00
宝鸡,0,0,13,0,0.00,13,100.00
安康,0,0,26,0,0.00,26,100.00
广东,1,19,1708,8,0.47,1681,98.42
境外输入,0,18,312,0,0.00,294,94.23
汕尾,1,1,6,0,0.00,5,83.33
河源,0,0,5,0,0.00,5,100.00
广州,0,0,377,1,0.27,376,99.73
茂名,0,0,14,0,0.00,14,100.00
阳江,0,0,14,0,0.00,14,100.00
韶关,0,0,10,1,10.00,9,90.00
清远,0,0,12,0,0.00,12,100.00
惠州,0,0,62,0,0.00,62,100.00
潮州,0,0,5,0,0.00,5,100.00
中山,0,0,67,0,0.00,67,100.00
地区待确认,0,0,0,0,0.00,0,0.00
湛江,0,0,22,0,0.00,22,100.00
珠海,0,0,98,1,1.02,97,98.98
汕头,0,0,25,0,0.00,25,100.00
揭阳,0,0,10,0,0.00,10,100.00
江门,0,0,23,0,0.00,23,100.00
梅州,0,0,16,0,0.00,16,100.00
佛山,0,0,89,0,0.00,89,100.00
深圳,0,0,423,3,0.71,420,99.29
肇庆,0,0,19,1,5.26,18,94.74
东莞,0,0,99,1,1.01,98,98.99
四川,1,11,619,3,0.48,605,97.74
境外输入,1,11,78,0,0.00,67,85.90
遂宁,0,0,17,0,0.00,17,100.00
成都,0,0,145,3,2.07,142,97.93
资阳,0,0,4,0,0.00,4,100.00
阿坝,0,0,1,0,0.00,1,100.00
自贡,0,0,9,0,0.00,9,100.00
攀枝花,0,0,16,0,0.00,16,100.00
泸州,0,0,24,0,0.00,24,100.00
德阳,0,0,18,0,0.00,18,100.00
绵阳,0,0,22,0,0.00,22,100.00
广元,0,0,6,0,0.00,6,100.00
雅安,0,0,8,0,0.00,8,100.00
内江,0,0,22,0,0.00,22,100.00
乐山,0,0,3,0,0.00,3,100.00
南充,0,0,39,0,0.00,39,100.00
宜宾,0,0,12,0,0.00,12,100.00
广安,0,0,30,0,0.00,30,100.00
达州,0,0,42,0,0.00,42,100.00
巴中,0,0,24,0,0.00,24,100.00
眉山,0,0,8,0,0.00,8,100.00
凉山,0,0,13,0,0.00,13,100.00
甘孜,0,0,78,0,0.00,78,100.00
浙江,0,6,1275,1,0.08,1268,99.45
境外输入,0,6,56,0,0.00,50,89.29
金华,0,0,55,0,0.00,55,100.00
