国家,所属洲,新增确诊,现有确诊,累计确诊,累计死亡,累计治愈,新增现有确诊,新增治愈,新增死亡
美国,北美洲,55364,2402047,5415666,170415,2843204,23479,30601,1284
巴西,南美洲,60091,598313,3224876,105463,2521100,44177,14652,1262
印度,亚洲,64553,661595,2461190,48040,1751555,7973,55573,1007
俄罗斯,欧洲,5016,173838,910778,15467,721473,-1637,6539,114
南非,非洲,3946,123978,572865,11270,437617,-1902,5588,260
秘鲁,南美洲,9441,140410,507996,25648,341938,5506,0,3935
墨西哥,北美洲,7371,43875,505751,55293,406583,1343,5401,627
哥伦比亚,南美洲,11286,169166,433805,14145,250494,269,10709,308
智利,南美洲,1866,16604,380034,10299,353131,60,1712,94
西班牙,欧洲,2935,154236,379799,28605,196958,2909,0,26
伊朗,亚洲,2501,25683,338825,19331,293811,579,1753,169
英国,欧洲,17,267330,315600,46791,1479,11,6,0
沙特阿拉伯,亚洲,0,30823,294519,3303,260393,0,0,0
巴基斯坦,亚洲,626,15932,287300,6153,265215,-543,1155,14
阿根廷,南美洲,7498,78276,276072,5362,192434,7382,0,116
孟加拉,亚洲,2766,111667,271881,3591,156623,980,1752,34
意大利,欧洲,522,14081,252235,35231,202923,290,226,6
土耳其,亚洲,1243,11666,245635,5912,228057,254,968,21
法国,欧洲,0,130092,244096,30392,83612,-17,0,17
德国,欧洲,1347,13404,223005,9229,200372,513,822,12
伊拉克,亚洲,3841,41428,164277,5641,117208,1121,2667,53
菲律宾,亚洲,6134,79813,153660,2442,71405,5100,1018,16
印度尼西亚,亚洲,2307,39484,135123,6021,89618,194,2060,53
加拿大,北美洲,372,4861,123184,9063,109260,-35,397,10
卡塔尔,亚洲,594,3084,114532,190,111258,-37,631,0
哈萨克斯坦,亚洲,476,21946,101848,1269,78633,-1401,1877,0
厄瓜多尔,南美洲,1233,13376,98343,6010,78957,1137,70,26
玻利维亚,南美洲,1388,58855,96459,3884,33720,441,890,57
埃及,非洲,145,34111,96108,5107,56890,-866,989,22
以色列,亚洲,1739,23664,90472,657,66151,248,1477,14
乌克兰,欧洲,1781,39587,89917,2042,48288,1152,610,19
瑞典,欧洲,442,78511,84294,5783,0,5406,0,7
多米尼加,北美洲,0,33795,83134,1393,47946,0,0,0
阿曼,亚洲,212,4759,82743,557,77427,57,149,6
巴拿马,北美洲,1069,24514,78446,1722,52210,437,613,19
比利时,欧洲,544,48362,76191,9916,17913,498,30,16
科威特,亚洲,0,7898,74486,489,66099,0,0,0
白俄罗斯,欧洲,0,2426,69203,599,66178,0,0,0
罗马尼亚,欧洲,1415,33222,68046,2904,31920,998,373,44
阿联酋,亚洲,0,5759,63489,358,57372,0,0,0
荷兰,欧洲,747,56600,63042,6189,253,744,0,3
危地马拉,北美洲,1195,9683,60284,2296,48305,255,911,29
新加坡,亚洲,83,4817,55580,27,50736,83,0,0
波兰,欧洲,832,15099,55319,1858,38362,417,401,14
葡萄牙,欧洲,0,12601,53548,1770,39177,-237,237,0
日本本土,亚洲,848,16053,53318,1074,36191,847,0,1
洪都拉斯,北美洲,385,40468,49042,1542,7032,289,87,9
尼日利亚,非洲,373,12841,48116,966,34309,-3,366,10
巴林,亚洲,462,3379,45726,167,42180,118,344,0
加纳,非洲,0,2007,41725,223,39495,0,0,0
吉尔吉斯斯坦,亚洲,304,6290,41373,1491,33592,-4,304,4
亚美尼亚,亚洲,276,6321,41299,814,34164,4,267,5
摩洛哥,非洲,1241,10664,37935,584,26687,203,1010,28
瑞士,欧洲,268,2980,37671,1991,32700,268,0,0
阿富汗,亚洲,7,9354,37431,1363,26714,7,0,0
阿尔及利亚,非洲,488,9842,37187,1341,26004,103,377,8
阿塞拜疆,亚洲,0,2146,33915,500,31269,0,0,0
乌兹别克斯坦,亚洲,468,6130,33561,218,27213,-478,943,3
委内瑞拉,南美洲,1281,8725,30369,259,21385,926,343,12
摩尔多瓦,欧洲,0,7933,29087,878,20276,0,0,0
塞尔维亚,欧洲,0,12424,28998,661,15913,0,0,0
肯尼亚,非洲,650,13194,28754,460,15100,156,490,4
爱尔兰,欧洲,91,1791,26929,1774,23364,91,0,0
埃塞俄比亚,非洲,1086,14297,26204,479,11428,676,394,16
哥斯达黎加,北美洲,1072,17445,26129,272,8412,840,223,9
尼泊尔,亚洲,594,8375,25551,99,17077,350,240,4
奥地利,欧洲,282,1652,22876,725,20499,129,153,0
澳大利亚,大洋洲,385,9018,22743,375,13350,22,349,14
萨尔瓦多,北美洲,321,11264,22314,595,10455,109,201,11
捷克,欧洲,326,5436,19401,391,13574,159,167,0
喀麦隆,非洲,45,2587,18308,401,15320,45,0,0
科特迪瓦,非洲,42,3260,16889,107,13522,-161,201,2
巴勒斯坦,亚洲,343,6346,15834,106,9382,146,196,1
丹麦,欧洲,165,1679,15755,621,13455,80,85,0
波黑,欧洲,351,5722,15535,469,9344,152,188,11
韩国,亚洲,103,705,14873,305,13863,57,46,0
保加利亚,欧洲,176,4684,14069,484,8901,-248,422,2
马达加斯加,非洲,121,1468,13643,164,12011,-112,231,2
北马其顿,欧洲,0,3163,12357,532,8662,0,0,0
苏丹,非洲,47,5044,12162,793,6325,26,20,1
塞内加尔,非洲,132,4008,11872,249,7615,84,43,5
挪威,欧洲,34,733,9851,261,8857,30,0,4
刚果（金）,非洲,16,855,9605,238,8512,-20,32,4
马来西亚,亚洲,20,196,9149,125,8828,13,7,0
赞比亚,非洲,0,1016,8663,246,7401,0,0,0
巴拉圭,南美洲,371,2776,8389,97,5516,235,132,4
几内亚,非洲,82,1028,8198,50,7120,22,60,0
加蓬,非洲,0,2106,8077,51,5920,0,0,0
塔吉克斯坦,亚洲,0,1146,7950,63,6741,0,0,0
海地,北美洲,29,2495,7810,192,5123,29,0,0
黎巴嫩,亚洲,298,5123,7711,92,2496,206,89,3
芬兰,欧洲,17,317,7700,333,7050,17,0,0
卢森堡,欧洲,68,832,7368,122,6414,-84,152,0
利比亚,非洲,439,6099,7050,135,816,398,38,3
阿尔巴尼亚,欧洲,0,3142,6971,213,3616,0,0,0
毛里塔尼亚,非洲,31,653,6653,157,5843,-71,102,0
希腊,欧洲,204,4813,6381,221,1347,199,0,5
克罗地亚,欧洲,208,961,6258,163,5134,150,56,2
马尔代夫,亚洲,128,2553,5494,21,2920,92,36,0
吉布提,非洲,0,132,5358,59,5167,-17,17,0
津巴布韦,非洲,97,2935,4990,128,1927,-216,307,6
马拉维,非洲,160,2209,4912,153,2550,138,21,1
匈牙利,欧洲,40,656,4853,607,3590,11,29,0
赤道几内亚,非洲,0,2556,4821,83,2182,0,0,0
中非共和国,非洲,0,2863,4652,61,1728,0,0,0
尼加拉瓜,北美洲,0,1074,4115,128,2913,0,0,0
黑山,欧洲,44,1104,3857,73,2680,2,42,0
刚果（布）,非洲,0,2060,3745,60,1625,0,0,0
斯威士兰,非洲,74,1543,3599,65,1991,-9,81,2
纳米比亚,非洲,138,2669,3544,27,848,120,13,5
泰国,亚洲,17,145,3376,58,3173,13,4,0
索马里,非洲,0,1406,3227,93,1728,0,0,0
古巴,北美洲,46,560,3174,89,2525,24,21,1
佛得角,非洲,73,808,3073,33,2232,13,60,0
斯里兰卡,亚洲,0,213,2882,11,2658,-12,12,0
斯洛伐克,欧洲,62,826,2801,31,1944,57,5,0
苏里南,南美洲,108,891,2761,40,1830,66,41,1
莫桑比克,非洲,79,1604,2638,19,1015,15,64,0
马里,非洲,15,493,2597,125,1979,13,2,0
斯洛文尼亚,欧洲,37,213,2369,129,2027,-30,67,0
立陶宛,欧洲,22,580,2352,81,1691,20,2,0
卢旺达,非洲,11,634,2200,8,1558,-23,34,0
爱沙尼亚,欧洲,3,138,2177,63,1976,2,1,0
几内亚比绍,非洲,0,1044,2088,29,1015,0,0,0
贝宁,非洲,0,295,2014,38,1681,0,0,0
冰岛,欧洲,7,112,1983,10,1861,-2,9,0
塞拉利昂,非洲,3,375,1940,69,1496,-10,13,0
突尼斯,非洲,67,492,1847,53,1302,42,24,1
也门,亚洲,6,370,1847,528,949,-6,12,0
安哥拉,非洲,53,1158,1815,80,577,53,0,0
新西兰,大洋洲,13,49,1602,22,1531,13,0,0
冈比亚,非洲,0,1246,1556,43,267,0,0,0
叙利亚,亚洲,30,982,1432,55,395,28,0,2
乌拉圭,南美洲,16,192,1409,37,1180,-1,17,0
乌干达,非洲,0,201,1353,11,1141,0,0,0
约旦,亚洲,0,87,1320,11,1222,0,0,0
拉脱维亚,欧洲,1,198,1308,32,1078,1,0,0
格鲁吉亚,亚洲,23,204,1306,17,1085,6,17,0
塞浦路斯,亚洲,14,415,1305,20,870,14,0,0
马耳他,欧洲,31,505,1276,9,762,-23,54,0
利比里亚,非洲,0,432,1252,82,738,0,0,0
布基纳法索,非洲,15,177,1228,54,997,13,2,0
博茨瓦纳,非洲,148,1091,1214,3,120,107,40,1
尼日尔,非洲,0,17,1161,69,1075,0,0,0
多哥,非洲,12,287,1104,26,791,3,9,0
巴哈马,北美洲,53,936,1089,15,138,37,16,0
牙买加,北美洲,6,303,1071,14,754,5,1,0
安道尔,欧洲,4,70,981,53,858,1,3,0
乍得,非洲,0,13,949,76,860,-1,1,0
越南,亚洲,24,471,929,21,437,7,16,1
莱索托,非洲,86,588,884,25,271,-11,96,1
钻石号邮轮,其他,0,48,712,13,651,0,0,0
圣马力诺,欧洲,0,0,699,42,657,0,0,0
圭亚那,南美洲,8,407,631,22,202,-3,11,0
坦桑尼亚,非洲,0,305,509,21,183,0,0,0
布隆迪,非洲,1,94,410,1,315,1,0,0
特立尼达和多巴哥,,35,257,404,8,139,35,0,0
科摩罗,非洲,0,13,399,7,379,0,0,0
缅甸,亚洲,0,42,369,6,321,0,0,0
毛里求斯,非洲,0,0,344,10,334,0,0,0
蒙古,亚洲,0,28,297,0,269,0,0,0
伯利兹,北美洲,0,262,296,2,32,0,0,0
厄立特里亚,非洲,0,37,285,0,248,0,0,0
柬埔寨,亚洲,1,48,273,0,225,-1,2,0
巴布亚新几内亚,大洋洲,-16,190,271,3,78,-16,0,0
巴巴多斯,北美洲,0,19,144,7,118,-3,3,0
摩纳哥,欧洲,3,26,144,4,114,3,0,0
文莱,亚洲,0,1,142,3,138,0,0,0
不丹,亚洲,0,28,128,0,100,0,0,0
塞舌尔,非洲,0,1,127,0,126,0,0,0
安提瓜和巴布达,北美洲,1,7,93,3,83,-6,7,0
列支敦士登公国,欧洲,0,2,90,1,87,0,0,0
圣文森特和格林纳丁斯,北美洲,0,2,57,0,55,-3,3,0
马提尼克岛,北美洲,0,36,37,1,0,0,0,0
斐济,大洋洲,0,7,28,1,20,0,0,0
圣卢西亚,北美洲,0,0,25,0,25,0,0,0
东帝汶,亚洲,0,1,25,0,24,0,0,0
格林纳达,北美洲,0,1,24,0,23,0,0,0
老挝,亚洲,2,3,22,0,19,2,0,0
多米尼克,北美洲,0,0,18,0,18,0,0,0
圣基茨和尼维斯,北美洲,0,0,17,0,17,0,0,0
梵蒂冈,欧洲,0,0,12,0,12,0,0,0
